internal_key	keep_value	remove_value
dataset_name	SHARK_Epibenthos_2017_DEEP_Gotland	
dataset_name	SHARK_Epibenthos_2017_DEEP_Hogakusten	
dataset_name	SHARK_Epibenthos_2017_DEEP_Singo	
dataset_name	SHARK_Epibenthos_2017_LNU	
dataset_name	SHARK_Phytoplankton_1983_SUSE	
dataset_name	SHARK_Phytoplankton_1984_SUSE	
dataset_name	SHARK_Phytoplankton_1985_SUSE	
dataset_name	SHARK_Phytoplankton_1986_SUSE	
dataset_name	SHARK_Phytoplankton_1987_SUSE	
dataset_name	SHARK_Phytoplankton_1988_SUSE	
dataset_name	SHARK_Phytoplankton_1989_SUSE	
dataset_name	SHARK_Phytoplankton_1990_SUSE	
dataset_name	SHARK_Phytoplankton_1991_SUSE	
dataset_name	SHARK_Phytoplankton_1992_SUSE	
dataset_name	SHARK_Phytoplankton_1993_SUSE	
dataset_name	SHARK_Phytoplankton_1994_1996_SMHI_Anholt	
dataset_name	SHARK_Phytoplankton_1994_SUSE	
dataset_name	SHARK_Phytoplankton_1995_2001_UMSC	
dataset_name	SHARK_Phytoplankton_1995_SUSE	
dataset_name	SHARK_Phytoplankton_1996_SUSE	
dataset_name	SHARK_Phytoplankton_1997_SMHI_Anholt	
dataset_name	SHARK_Phytoplankton_1997_SUSE	
dataset_name	SHARK_Phytoplankton_1998_SUSE	
dataset_name	SHARK_Phytoplankton_1999_SUSE	
dataset_name	SHARK_Phytoplankton_2000_SMHI_Anholt	
dataset_name	SHARK_Phytoplankton_2000_SUSE	
dataset_name	SHARK_Phytoplankton_2001_SMHI_A17	
dataset_name	SHARK_Phytoplankton_2001_SMHI_Anholt	
dataset_name	SHARK_Phytoplankton_2001_SUSE	
dataset_name	SHARK_Phytoplankton_2002_SMHI	
dataset_name	SHARK_Phytoplankton_2002_SUSE	
dataset_name	SHARK_Phytoplankton_2002_UMSC	
dataset_name	SHARK_Phytoplankton_2003_SMHI	
dataset_name	SHARK_Phytoplankton_2003_SMHI_A17	
dataset_name	SHARK_Phytoplankton_2003_SMHI_Slaggo	
dataset_name	SHARK_Phytoplankton_2003_SUSE	
dataset_name	SHARK_Phytoplankton_2003_UMSC	
dataset_name	SHARK_Phytoplankton_2004_SMHI	
dataset_name	SHARK_Phytoplankton_2004_SUSE	
dataset_name	SHARK_Phytoplankton_2004_UMSC	
dataset_name	SHARK_Phytoplankton_2005_SMHI	
dataset_name	SHARK_Phytoplankton_2005_SUSE	
dataset_name	SHARK_Phytoplankton_2005_UMSC	
dataset_name	SHARK_Phytoplankton_2006_SMHI	
dataset_name	SHARK_Phytoplankton_2006_SUSE	
dataset_name	SHARK_Phytoplankton_2006_UMSC	
dataset_name	SHARK_Phytoplankton_2007_SMHI	
dataset_name	SHARK_Phytoplankton_2007_SUSE	
dataset_name	SHARK_Phytoplankton_2007_UMSC	
dataset_name	SHARK_Phytoplankton_2008_SMHI	
dataset_name	SHARK_Phytoplankton_2008_SUSE	
dataset_name	SHARK_Phytoplankton_2008_UMSC	
dataset_name	SHARK_Phytoplankton_2009_SMHI	
dataset_name	SHARK_Phytoplankton_2009_SUSE	
dataset_name	SHARK_Phytoplankton_2009_UMSC	
dataset_name	SHARK_Phytoplankton_2010_SMHI	
dataset_name	SHARK_Phytoplankton_2010_SUSE	
dataset_name	SHARK_Phytoplankton_2010_UMSC	
dataset_name	SHARK_Phytoplankton_2011_SMHI	
dataset_name	SHARK_Phytoplankton_2011_SUSE	
dataset_name	SHARK_Phytoplankton_2011_UMSC	
dataset_name	SHARK_Phytoplankton_2012_SMHI	
dataset_name	SHARK_Phytoplankton_2012_SUSE	
dataset_name	SHARK_Phytoplankton_2012_UMSC	
dataset_name	SHARK_Phytoplankton_2013_DEEP	
dataset_name	SHARK_Phytoplankton_2013_SMHI	
dataset_name	SHARK_Phytoplankton_2013_UMSC	
dataset_name	SHARK_Phytoplankton_2014_DEEP	
dataset_name	SHARK_Phytoplankton_2014_SMHI	
dataset_name	SHARK_Phytoplankton_2014_UMSC	
dataset_name	SHARK_Phytoplankton_2015_DEEP	
dataset_name	SHARK_Phytoplankton_2015_SMHI	
dataset_name	SHARK_Phytoplankton_2015_UMSC	
dataset_name	SHARK_Phytoplankton_2016_DEEP	
dataset_name	SHARK_Phytoplankton_2016_SMHI	
dataset_name	SHARK_Phytoplankton_2016_UMSC	
dataset_name	SHARK_Phytoplankton_2017_DEEP	
dataset_name	SHARK_Phytoplankton_2017_UMSC	
dataset_name	SHARK_Phytoplankton_2017_SMHI	
dataset_name	SHARK_PrimaryProduction_1979_2005_SMHI	
