scientific_name_shark	scientific_name_worms	aphiaid
Leptocheirus pilosus		102040
Leptognathia		136229
Leucon		110414
Leucothoe lilljeborgii	Leucothoe lilljeborgi	102462
Levensenia gracilis	Levinsenia gracilis	130578
Limnephilus lunatus		
Limoniini		
Lingulodinium polyedrum		233592
Lipobranchus jeffreysi	Lipobranchius jeffreysii	333843
Littorina saxatilis		140264
Lora reticulata		
Luidia sarsi		178639
Lumbrinereis fragilis	Lumbrineris fragilis	152285
Lumbrinereis scopa aequilobata	Lumbrineris scopa aequilobata	155482
Lumbrineris frgm	Lumbrineris	129337
Lumbrineris scopa aquilobata	Lumbrineris scopa aequilobata	155482
Lyngbya aestuarii		157084
Macoma calcaria	Macoma calcarea	141580
Macropelopia		
Macropodia rostrata		107345
Malmgreniella antilopes	Malmgreniella andreapolis	130809
Marenzelleria sp.	Marenzelleria	129615
Medusozoa		
Merismopedia		146545
Merismopedia elegans		177158
Merona cornucopia	Merona cornucopiae	117434
Metridiidae		100678
Microcalanus		104164
Micropsectra		
Microtendipes		
Microtendipes pedellus		
Moera loveni	Maera loveni	102820
Molanna		
Moniporeia affinis	Monoporeia affinis	103077
Monoculodes breviops	Monoculodes breviops	845994
Monodiamesa		
Mya		138211
Myriochela oculata	Myriochele oculata	130543
Myriochele daniellseni	Myriochele danielsseni	130540
Myrtea spinnifera	Myrtea spinifera	140287
Mysis relicta		120120
Mysis relicta s. lat.	Mysis relicta	120120
Mystacides azurea		
Nassarius reticulata	Nassarius reticulatus	140513
Navicula		149142
Nematomorpha		
Nemertini indet	Nemertini	246812
Nephtys insica	Nephtys incisa	130362
Neridae	Polychaeta	883
Neureclipsis bimaculata		
Nitzschia		149045
Nitzschia paleacea		609727
Nodularia		156692
Nodularia harveyana		178477
Nucula sulcata		140592
Nucula tumidula		140593
Nymphon gracile		134687
Oecetis ochracea		
Oid		1
Oikopleura dioica	Oikopleura (Vexillaria) dioica	103407
Oithona		106485
Onchnesoma squamatum		136065
Onchnesoma steenstrupi		424624
Ophelina borealis	Ophelia borealis	130491
Ophelina cylindricaudata		130503
Orbinia cuvieri		130521
Other		
Others		
Oulimnius tuberculatus		
Pagastiella orophila		
Palaemon		107032
Parachironomus		
Paracladius		
Paracladopelma		
Parakiefferiella triquetra		
Paralauterborniella nigrohalteralis		
Paramphinome jeffreysi	Paramphinome jeffreysii	129837
Paramphinone jeffreysi	Paramphinome jeffreysii	129837
Paratanytarsus		
Paratendipes albimanus		
Pectinaria belgica		334418
Pediastrum duplex var. duplex	Pediastrum duplex	164061
Pentaneurini		
Phascolion strombus	Phascolion (Phascolion) strombus	175043
Phascolosoma		136029
Phaxas pellucida	Phaxas pellucidus	140737
Pherusa		129293
Philine aperta		140744
Phormidium		146690
Phoronida		1789
Phoronis mulleri	Phoronis muelleri	128549
Photis reinhardi		102387
Phyllodoce		129455
Phyllodoce groenlandica		334506
Phyllodoce lineata		334508
Phyllodoce mucosa		334512
Phylo norvegica	Phylo norvegicus	130531
Picoplankton		1
Pinnotheres pisum		107473
Pisida longicornis	Pisidia longicornis	107188
Planaria		152665
Plateumaris		
Platyhelmintes	Platyhelminthes	793
Pleopis polyphemoides	Pleopis polyphaemoides	247981
Pleurasiga reynoldsii		105601
Podon leukartii	Podon leuckartii	106277
Polinices montagui	Polinices (Lunatia) montagui	150638
Polyartemia		
Polydora cliata	Polydora ciliata	131141
Polydora coeca	Polydora (Polydora) coeca	155165
Polydora sp (cf ciliata)	Polydora	129619
Potthastia		
Praxilella praetermissa	Praxillella praetermissa	130326
Prionospia dubia	Prionospio dubia	131155
Prionospio multibranchiata		131160
Prionospo banyulensis	Prionospio banyulensis	131151
Proclea graffi	Proclea graffi	334636
Proclea graffiii	Proclea graffii	157545
Prodiamesa olivacea		
Prostoma		162630
Prostomes	Prostoma	162630
Protanypus		
Protaspis		601293
Protoceratium reticulatum		110321
Protodorvillea kefersteini		130041
Protomedia fasciata	Protomedeia fasciata	102443
Protoperidinium brevipes		110210
Protoperidinium marielebourae	Protoperidinium marie-lebouriae	614620
Pseudanabaena		177588
Pseudanabaena spp	Pseudanabaena	177588
Pseudione callanassae	Pseudione callianassae	118236
Pseudochironomus prasinatus		
Pseudocuma gilsoni	Pseudocuma (Pseudocuma) gilsoni	110626
Pseudocuma longicorne	Pseudocuma (Pseudocuma) longicorne	110627
