Scientific name	Comments	WORMS Authority	WORMS Rank	WORMS Kingdom	WORMS Phylum	WORMS Class	WORMS Order	WORMS Family	WORMS Genus	WORMS AphiaID
Limnoria lignorum		(Rathke, 1799)	Species	Animalia	Arthropoda	Malacostraca	Isopoda	Limnoriidae	Limnoria	118917
Limnothrix		Meffert, 1987	Genus	Bacteria	Cyanobacteria	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Limnothrix	177506
Limnothrix planctonica		(Woloszynska) Meffert, 1988	Species	Bacteria	Cyanobacteria	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Limnothrix	177507
Limnothrix redekei		(van Goor) M.E.Meffert, 1988	Species	Bacteria	Cyanobacteria	Cyanophyceae	Pseudanabaenales	Pseudanabaenaceae	Limnothrix	177508
Lineus longissimus		(Gunnerus, 1770)	Species	Animalia	Nemertea	Anopla		Lineidae	Lineus	122528
Lingulodinium		D.Wall, 1967	Genus	Chromista	Myzozoa	Dinophyceae	Gonyaulacales	Gonyaulacaceae	Lingulodinium	231799
Liocarcinus		Stimpson, 1871	Genus	Animalia	Arthropoda	Malacostraca	Decapoda	Polybiidae	Liocarcinus	106925
Liocarcinus depurator		(Linnaeus, 1758)	Species	Animalia	Arthropoda	Malacostraca	Decapoda	Polybiidae	Liocarcinus	107387
Liocarcinus holsatus		(Fabricius, 1798)	Species	Animalia	Arthropoda	Malacostraca	Decapoda	Polybiidae	Liocarcinus	107388
Liocarcinus pusillus		(Leach, 1816)	Species	Animalia	Arthropoda	Malacostraca	Decapoda	Polybiidae	Liocarcinus	107393
Lioloma elongatum		(Grunow) Hasle, 1997	Species	Chromista	Ochrophyta	Bacillariophyceae	Thalassionematales	Thalassionemataceae	Lioloma	573482
Lipobranchius jeffreysii		(McIntosh, 1869)	Species	Animalia	Annelida	Polychaeta		Scalibregmatidae	Lipobranchius	333843
Lipobranchus jeffreysi		(McIntosh, 1869)	Species	Animalia	Annelida	Polychaeta		Scalibregmatidae	Lipobranchius	333843
Lithodes maja		(Linnaeus, 1758)	Species	Animalia	Arthropoda	Malacostraca	Decapoda	Lithodidae	Lithodes	107205
Lithodesmium undulatum		Ehrenberg, 1839	Species	Chromista	Ochrophyta	Bacillariophyceae	Lithodesmiales	Lithodesmiaceae	Lithodesmium	149322
Lithothamnion		Heydrich, 1897	Genus	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Lithothamnion	144018
Lithothamnion glaciale		Kjellman, 1883	Species	Plantae	Rhodophyta	Florideophyceae	Corallinales	Hapalidiaceae	Lithothamnion	145170
Littorina		Férussac, 1822	Genus	Animalia	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Littorina	138135
Littorina fabalis		(Turton, 1825)	Species	Animalia	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Littorina	140261
Littorina littorea		(Linnaeus, 1758)	Species	Animalia	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Littorina	140262
Littorina obtusata		(Linnaeus, 1758)	Species	Animalia	Mollusca	Gastropoda	Littorinimorpha	Littorinidae	Littorina	140263
Lobocystis planctonica										616373
Lohmanniella		Leegaard, 1915	Genus	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Lohmanniellidae	Lohmanniella	101180
Lohmanniella oviformis		Leegaard, 1915	Species	Chromista	Ciliophora	Oligotrichea	Choreotrichida	Lohmanniellidae	Lohmanniella	101209
Lomentaria clavellosa		(Lightfoot ex Turner) Gaillon, 1828	Species	Plantae	Rhodophyta	Florideophyceae	Rhodymeniales	Lomentariaceae	Lomentaria	145825
Lomentaria orcadensis		(Harvey) F.S.Collins, 1937	Species	Plantae	Rhodophyta	Florideophyceae	Rhodymeniales	Lomentariaceae	Lomentaria	145830
Longipedia		Claus, 1862	Genus	Animalia	Arthropoda		Harpacticoida	Longipediidae	Longipedia	115403
Lophius piscatorius		Linnaeus, 1758	Species	Animalia	Chordata	Actinopteri	Lophiiformes	Lophiidae	Lophius	126555
